Date,Section,Type,Rev Multiple (x),Enterprise Value ($B),Market Cap ($B),LTM Revenue ($B),Rev Growth (%),LTM EBITDA ($B),EBITDA Margin (%),LTM Op CF ($B),Debt ($B),Cash ($B)
2026-05-26,All Companies,Median,3.51,5.11,5.77,1.3,16.0,0.07,6.17,0.31,0.3,0.75
2026-05-26,All Companies,Average,6.31,63.64,63.65,7.15,18.48,2.95,5.81,2.71,2.66,2.67
2026-05-26,Above Median Growth,Median,5.83,8.69,10.14,1.31,23.4,-0.03,-0.97,0.28,0.22,1.16
2026-05-26,Above Median Growth,Average,9.73,116.93,116.76,11.09,27.71,5.1,-3.49,4.31,4.08,3.91
2026-05-26,Top 30 Fastest Growing,Median,6.73,9.36,10.87,1.31,26.3,-0.04,-1.89,0.3,0.23,1.19
2026-05-26,Top 30 Fastest Growing,Average,11.0,38.69,39.99,2.86,30.0,0.13,-5.92,0.73,0.74,2.04
2026-05-26,Top 30 Most Profitable,Median,3.62,5.69,5.83,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-05-26,Top 30 Most Profitable,Average,6.39,137.03,136.0,15.35,13.78,7.46,25.94,6.17,5.73,4.71
2026-05-27,All Companies,Median,3.51,4.98,5.76,1.3,16.0,0.07,6.17,0.31,0.3,0.75
2026-05-27,All Companies,Average,6.13,62.84,62.86,7.16,18.48,2.95,5.82,2.71,2.66,2.67
2026-05-27,Above Median Growth,Median,5.72,8.83,10.27,1.31,23.4,-0.03,-0.97,0.28,0.22,1.16
2026-05-27,Above Median Growth,Average,9.39,115.41,115.24,11.1,27.69,5.1,-3.47,4.31,4.08,3.91
2026-05-27,Top 30 Fastest Growing,Median,5.88,9.26,10.78,1.31,26.25,-0.04,-1.56,0.3,0.23,1.19
2026-05-27,Top 30 Fastest Growing,Average,10.58,37.65,38.95,2.87,29.98,0.13,-5.89,0.73,0.74,2.04
2026-05-27,Top 30 Most Profitable,Median,3.58,5.66,5.8,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-05-27,Top 30 Most Profitable,Average,6.28,135.88,134.86,15.35,13.78,7.46,25.94,6.17,5.73,4.71
2026-05-28,All Companies,Median,3.62,5.05,5.63,1.3,16.0,0.07,6.17,0.31,0.3,0.75
2026-05-28,All Companies,Average,6.47,65.55,65.56,7.16,18.48,2.95,5.82,2.71,2.66,2.67
2026-05-28,Above Median Growth,Median,5.94,9.05,10.18,1.31,23.4,-0.03,-0.97,0.28,0.22,1.16
2026-05-28,Above Median Growth,Average,10.0,120.76,120.59,11.1,27.69,5.1,-3.48,4.31,4.08,3.91
2026-05-28,Top 30 Fastest Growing,Median,6.12,9.93,11.29,1.31,26.25,-0.04,-1.73,0.3,0.23,1.19
2026-05-28,Top 30 Fastest Growing,Average,11.3,40.65,41.95,2.87,29.98,0.13,-5.91,0.73,0.74,2.04
2026-05-28,Top 30 Most Profitable,Median,3.58,5.64,5.78,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-05-28,Top 30 Most Profitable,Average,6.55,141.0,139.98,15.35,13.78,7.46,25.94,6.17,5.73,4.71
2026-05-29,All Companies,Median,4.04,5.15,5.7,1.3,16.0,0.07,6.17,0.31,0.3,0.75
2026-05-29,All Companies,Average,6.93,70.04,69.74,7.18,18.56,2.95,5.91,2.71,2.99,2.69
2026-05-29,Above Median Growth,Median,6.34,10.34,11.29,1.31,23.4,-0.03,-0.97,0.28,0.22,1.16
2026-05-29,Above Median Growth,Average,10.76,128.32,128.12,11.11,27.85,5.1,-3.31,4.31,4.08,3.88
2026-05-29,Top 30 Fastest Growing,Median,6.69,11.12,12.38,1.31,26.25,-0.04,-1.74,0.3,0.23,1.19
2026-05-29,Top 30 Fastest Growing,Average,12.17,44.17,45.43,2.88,30.17,0.13,-5.71,0.73,0.74,2.0
2026-05-29,Top 30 Most Profitable,Median,3.82,5.79,5.93,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-05-29,Top 30 Most Profitable,Average,6.97,150.21,148.43,15.4,13.82,7.48,25.94,6.17,6.56,4.78
2026-05-30,All Companies,Median,4.04,5.15,5.7,1.3,16.5,0.07,7.2,0.31,0.3,0.75
2026-05-30,All Companies,Average,6.92,70.04,69.74,7.18,18.59,2.95,5.99,2.71,2.99,2.69
2026-05-30,Above Median Growth,Median,6.34,10.34,11.29,1.32,23.4,-0.03,-0.97,0.31,0.22,1.17
2026-05-30,Above Median Growth,Average,10.75,128.39,128.21,11.13,27.84,5.1,-3.13,4.32,4.08,3.9
2026-05-30,Top 30 Fastest Growing,Median,6.69,11.12,12.38,1.31,25.6,-0.04,-1.74,0.3,0.23,1.19
2026-05-30,Top 30 Fastest Growing,Average,12.15,44.17,45.43,2.88,30.14,0.13,-5.6,0.73,0.74,2.01
2026-05-30,Top 30 Most Profitable,Median,3.82,5.79,5.93,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-05-30,Top 30 Most Profitable,Average,6.97,150.21,148.43,15.4,13.82,7.48,25.94,6.17,6.56,4.78
2026-05-31,All Companies,Median,4.04,5.15,5.7,1.3,16.5,0.07,7.2,0.31,0.3,0.75
2026-05-31,All Companies,Average,6.92,70.04,69.74,7.18,18.59,2.95,6.02,2.71,2.99,2.69
2026-05-31,Above Median Growth,Median,6.34,10.34,11.29,1.32,23.4,-0.03,-0.97,0.31,0.22,1.17
2026-05-31,Above Median Growth,Average,10.75,128.39,128.21,11.13,27.84,5.11,-3.07,4.32,4.08,3.9
2026-05-31,Top 30 Fastest Growing,Median,6.69,11.12,12.38,1.31,25.6,-0.04,-1.74,0.3,0.23,1.19
2026-05-31,Top 30 Fastest Growing,Average,12.15,44.17,45.43,2.88,30.14,0.14,-5.52,0.73,0.74,2.01
2026-05-31,Top 30 Most Profitable,Median,3.82,5.79,5.93,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-05-31,Top 30 Most Profitable,Average,6.97,150.21,148.43,15.4,13.82,7.48,25.94,6.17,6.56,4.78
2026-06-01,All Companies,Median,4.33,5.58,6.29,1.3,16.5,0.07,7.2,0.31,0.3,0.75
2026-06-01,All Companies,Average,7.5,72.98,72.69,7.18,18.58,2.95,6.04,2.71,2.99,2.69
2026-06-01,Above Median Growth,Median,6.75,11.95,12.96,1.32,23.4,-0.03,-0.97,0.31,0.22,1.17
2026-06-01,Above Median Growth,Average,11.68,133.28,133.09,11.13,27.84,5.11,-3.07,4.32,4.08,3.9
2026-06-01,Top 30 Fastest Growing,Median,7.36,12.36,13.88,1.31,25.6,-0.04,-1.74,0.3,0.23,1.19
2026-06-01,Top 30 Fastest Growing,Average,13.22,47.56,48.83,2.88,30.14,0.14,-5.52,0.73,0.74,2.01
2026-06-01,Top 30 Most Profitable,Median,4.0,6.31,6.45,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-01,Top 30 Most Profitable,Average,7.36,154.92,153.15,15.4,13.82,7.48,25.94,6.17,6.56,4.78
2026-06-02,All Companies,Median,4.31,5.32,6.17,1.3,16.5,0.07,7.2,0.31,0.3,0.75
2026-06-02,All Companies,Average,7.23,69.99,69.69,7.18,18.58,2.95,6.04,2.71,2.99,2.69
2026-06-02,Above Median Growth,Median,6.32,10.91,12.29,1.32,23.4,-0.03,-0.97,0.31,0.22,1.17
2026-06-02,Above Median Growth,Average,11.27,127.76,127.58,11.13,27.84,5.11,-3.07,4.32,4.08,3.9
2026-06-02,Top 30 Fastest Growing,Median,6.94,11.08,12.56,1.31,25.6,-0.04,-1.74,0.3,0.23,1.19
2026-06-02,Top 30 Fastest Growing,Average,12.76,45.56,46.82,2.88,30.14,0.14,-5.52,0.73,0.74,2.01
2026-06-02,Top 30 Most Profitable,Median,3.71,6.1,6.24,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-02,Top 30 Most Profitable,Average,7.06,148.3,146.52,15.4,13.82,7.48,25.94,6.17,6.56,4.78
2026-06-03,All Companies,Median,3.85,5.07,5.8,1.3,16.5,0.07,7.2,0.31,0.3,0.75
2026-06-03,All Companies,Average,6.88,67.33,67.03,7.18,18.58,2.95,6.07,2.71,2.99,2.69
2026-06-03,Above Median Growth,Median,6.32,10.09,11.39,1.32,23.4,-0.03,-0.97,0.31,0.22,1.17
2026-06-03,Above Median Growth,Average,10.71,122.91,122.73,11.14,27.84,5.11,-3.01,4.32,4.08,3.9
2026-06-03,Top 30 Fastest Growing,Median,6.65,10.27,11.71,1.31,25.6,-0.04,-1.74,0.3,0.23,1.19
2026-06-03,Top 30 Fastest Growing,Average,12.12,43.08,44.35,2.89,30.14,0.14,-5.45,0.73,0.74,2.01
2026-06-03,Top 30 Most Profitable,Median,3.63,5.82,5.96,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-03,Top 30 Most Profitable,Average,6.75,142.98,141.2,15.4,13.82,7.48,25.94,6.17,6.56,4.78
2026-06-04,All Companies,Median,3.83,5.2,5.77,1.3,16.5,0.07,6.51,0.31,0.3,0.75
2026-06-04,All Companies,Average,6.87,67.38,67.08,7.18,18.55,2.95,6.06,2.71,2.99,2.69
2026-06-04,Above Median Growth,Median,6.37,10.22,11.28,1.32,23.4,-0.03,-0.97,0.31,0.22,1.17
2026-06-04,Above Median Growth,Average,10.67,123.01,122.83,11.14,27.84,5.11,-3.01,4.32,4.08,3.9
2026-06-04,Top 30 Fastest Growing,Median,6.76,10.26,11.59,1.31,25.6,-0.04,-1.74,0.3,0.23,1.19
2026-06-04,Top 30 Fastest Growing,Average,12.07,43.03,44.3,2.89,30.14,0.14,-5.45,0.73,0.74,2.01
2026-06-04,Top 30 Most Profitable,Median,3.62,5.77,5.91,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-04,Top 30 Most Profitable,Average,6.78,143.3,141.53,15.4,13.82,7.48,25.94,6.17,6.56,4.78
2026-06-05,All Companies,Median,3.77,5.16,5.49,1.3,16.5,0.09,6.51,0.31,0.3,0.75
2026-06-05,All Companies,Average,6.56,65.24,64.94,7.19,18.52,2.96,6.25,2.71,2.99,2.69
2026-06-05,Above Median Growth,Median,6.14,9.91,10.89,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-05,Above Median Growth,Average,10.12,119.0,118.8,11.15,27.73,5.12,-2.68,4.32,4.08,3.88
2026-06-05,Top 30 Fastest Growing,Median,6.57,9.96,11.19,1.37,25.7,-0.01,-0.76,0.3,0.23,1.17
2026-06-05,Top 30 Fastest Growing,Average,11.42,40.93,42.18,2.91,30.0,0.15,-5.03,0.73,0.74,1.99
2026-06-05,Top 30 Most Profitable,Median,3.59,6.47,6.25,1.87,10.5,0.4,23.8,0.51,0.48,0.63
2026-06-05,Top 30 Most Profitable,Average,6.51,139.29,137.56,15.48,13.65,7.49,25.94,6.2,6.56,4.82
2026-06-06,All Companies,Median,3.77,5.16,5.49,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-06,All Companies,Average,6.56,65.24,64.94,7.19,18.52,2.96,6.24,2.71,2.99,2.69
2026-06-06,Above Median Growth,Median,6.14,9.91,10.89,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-06,Above Median Growth,Average,10.12,119.0,118.8,11.15,27.73,5.12,-2.7,4.32,4.08,3.88
2026-06-06,Top 30 Fastest Growing,Median,6.57,9.96,11.19,1.37,25.7,-0.01,-0.76,0.3,0.23,1.17
2026-06-06,Top 30 Fastest Growing,Average,11.42,40.93,42.18,2.91,30.0,0.15,-5.06,0.73,0.74,1.99
2026-06-06,Top 30 Most Profitable,Median,3.59,6.47,6.25,1.87,10.5,0.4,23.8,0.51,0.48,0.63
2026-06-06,Top 30 Most Profitable,Average,6.51,139.29,137.56,15.48,13.65,7.49,25.94,6.2,6.56,4.82
2026-06-07,All Companies,Median,3.77,5.16,5.49,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-07,All Companies,Average,6.56,65.24,64.94,7.19,18.52,2.96,6.23,2.71,2.99,2.69
2026-06-07,Above Median Growth,Median,6.14,9.91,10.89,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-07,Above Median Growth,Average,10.12,119.0,118.8,11.15,27.73,5.12,-2.71,4.32,4.08,3.88
2026-06-07,Top 30 Fastest Growing,Median,6.57,9.96,11.19,1.37,25.7,-0.01,-0.76,0.3,0.23,1.17
2026-06-07,Top 30 Fastest Growing,Average,11.42,40.93,42.18,2.91,30.0,0.15,-5.07,0.73,0.74,1.99
2026-06-07,Top 30 Most Profitable,Median,3.59,5.85,5.99,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-07,Top 30 Most Profitable,Average,6.54,139.1,137.35,15.4,13.83,7.48,25.94,6.17,6.56,4.81
2026-06-08,All Companies,Median,3.73,4.97,5.42,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-08,All Companies,Average,6.49,64.58,64.28,7.19,18.52,2.96,6.23,2.71,2.99,2.69
2026-06-08,Above Median Growth,Median,5.84,9.65,10.65,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-08,Above Median Growth,Average,10.03,117.91,117.71,11.15,27.73,5.12,-2.71,4.32,4.08,3.88
2026-06-08,Top 30 Fastest Growing,Median,6.28,9.67,10.9,1.37,25.7,-0.01,-0.76,0.3,0.23,1.17
2026-06-08,Top 30 Fastest Growing,Average,11.33,40.81,42.06,2.91,30.0,0.15,-5.07,0.73,0.74,1.99
2026-06-08,Top 30 Most Profitable,Median,3.57,5.78,5.92,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-08,Top 30 Most Profitable,Average,6.51,137.82,136.07,15.4,13.83,7.48,25.94,6.17,6.56,4.81
2026-06-09,All Companies,Median,3.61,5.0,5.25,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-09,All Companies,Average,6.33,63.12,62.83,7.19,18.52,2.96,6.23,2.71,2.99,2.69
2026-06-09,Above Median Growth,Median,5.89,9.12,10.12,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-09,Above Median Growth,Average,9.74,115.27,115.06,11.15,27.73,5.12,-2.71,4.32,4.08,3.88
2026-06-09,Top 30 Fastest Growing,Median,6.09,9.18,10.47,1.37,25.7,-0.01,-0.76,0.3,0.23,1.17
2026-06-09,Top 30 Fastest Growing,Average,10.99,39.64,40.89,2.91,30.0,0.15,-5.07,0.73,0.74,1.99
2026-06-09,Top 30 Most Profitable,Median,3.53,5.88,6.02,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-09,Top 30 Most Profitable,Average,6.4,134.77,133.02,15.4,13.83,7.48,25.94,6.17,6.56,4.81
2026-06-10,All Companies,Median,3.51,4.9,5.05,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-10,All Companies,Average,6.22,62.17,61.87,7.2,18.5,2.96,6.36,2.71,2.99,2.69
2026-06-10,Above Median Growth,Median,5.83,8.87,9.87,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-10,Above Median Growth,Average,9.56,113.59,113.39,11.15,27.7,5.12,-2.44,4.32,4.08,3.88
2026-06-10,Top 30 Fastest Growing,Median,6.11,8.94,10.16,1.37,25.7,0.0,0.41,0.3,0.23,1.17
2026-06-10,Top 30 Fastest Growing,Average,10.78,39.1,40.35,2.91,29.97,0.15,-4.74,0.73,0.74,1.99
2026-06-10,Top 30 Most Profitable,Median,3.53,5.82,5.96,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-10,Top 30 Most Profitable,Average,6.34,132.74,130.99,15.4,13.83,7.48,25.94,6.17,6.56,4.81
2026-06-11,All Companies,Median,3.51,4.87,5.04,1.3,16.5,0.09,6.54,0.31,0.3,0.75
2026-06-11,All Companies,Average,6.25,61.52,61.23,7.2,18.5,2.96,6.36,2.71,2.99,2.69
2026-06-11,Above Median Growth,Median,5.67,8.64,9.54,1.42,24.6,0.01,0.89,0.31,0.22,1.17
2026-06-11,Above Median Growth,Average,9.64,112.64,112.44,11.15,27.7,5.12,-2.44,4.32,4.08,3.88
2026-06-11,Top 30 Fastest Growing,Median,5.98,8.71,9.88,1.37,25.7,0.0,0.35,0.3,0.23,1.17
2026-06-11,Top 30 Fastest Growing,Average,10.9,39.67,40.92,2.91,29.97,0.15,-4.75,0.73,0.74,1.99
2026-06-11,Top 30 Most Profitable,Median,3.53,5.58,5.72,1.59,10.75,0.4,23.8,0.44,0.48,0.51
2026-06-11,Top 30 Most Profitable,Average,6.31,130.63,128.88,15.4,13.83,7.48,25.94,6.17,6.56,4.81
